,use_category,use_subcategory,skintype,brand,product,size,price,details,ingredients,ratings,perc_respondrec,total_reviews,link,page
0,cleanser,face wash,oily,Philosophy,The Microdelivery Exfoliating Facial Wash,8.0 oz,"Price
$29.00","Daily exfoliation is vital to healthy-looking skin. Award-winning microdelivery ""30-second cleansing mini peel"" with micro-exfoliating beads gently buffs away dead skin and impurities to reveal a smoother, brighter, more even complexion as it cleanses and lightly tones. Perfect for all skin types, including aging and sensitive skin.","Aqua/Water/Eau, Solum Diatomeae/Diatomaceous Earth/Terre De Diatomees, Sodium Cocoyl Apple Amino Acids, Glycerin,Acrylates/Steareth-20 Methacrylate Copolymer, Acrylates Copolymer, Decyl Glucoside, Disodium Cocoamphodiacetate, Phenoxyethanol, Lauryl Glucoside, Lithium Magnesium Sodium Silicate, Polysorbate 20, Hexylene Glycol, Sodium Hydroxide, Citrus Aurantium Dulcis (Orange) Peel Extract, Limonene, Decylene Glycol, Ethylhexylglycerin, Panthenol, Tetrasodium Edta, 1,2-Hexanediol, Ascorbyl Glucoside, Borago Officinalis Seed Oil, Tocopherol, Helianthus Annuus (Sunflower) Seed Oil, Tocotrienols, Triolein, Trilinolein, Magnesium Nitrate, Methylisothiazolinone, Methylchloroisothiazolinone, Magnesium Chloride.",4.5,91%,812 Reviews,https://www.ulta.com/microdelivery-exfoliating-facial-wash?productId=xlsImpprod15641100,1
1,cleanser,face wash,oily,Murad,AHA/BHA Exfoliating Cleanser,Size 6.75 oz|,"Price
$40.00","Featuring limited-edition Hydration packaging to celebrate Murad's 30-year anniversary as the skincare hydration experts.

Murad's AHA/BHA Exfoliating Cleanser is an intensive cleanser with a trio of exfoliating acids and Jojoba skin-polishing beads to reveal younger-looking complexion.

Gently exfoliates and polishes away dullness and excess cellular debris.
Three exfoliating agents - salicylic acid, lactic acid, and glycolic acid reveal younger looking skin by loosening dulling buildup on skin's surface.
Jojoba beads polish away debris, dryness, and roughness while sodium PCA attracts water to the skin's surface to help it retain moisture and elasticity needed to function as a strong, healthy barrier.
Formulated without parabens, sulfates or phthalates.

Murad is cruelty-free: always tested on people, never on animals. Dermatologist developed.","Water (Aqua), Sodium Laureth Sulfate, Cocamidopropyl Betaine, Jojoba Esters, Acrylates Copolymer, Glycol Stearate, Butylene Glycol, Sodium PCA, Dipotassium Glycyrrhizate, Sodium Ascorbyl Phosphate, Glycolic Acid, Lactic Acid, Salicylic Acid, Polyquaternium-4, Sodium Hydroxide, Sodium Chloride, Citric Acid, Disodium EDTA, Phenoxyethanol, Methylparaben, Propylparaben.",4.6,93%,267 Reviews,https://www.ulta.com/ahabha-exfoliating-cleanser?productId=prod2082342,1
2,cleanser,face wash,oily,CeraVe,Hydrating Facial Cleanser,8.0 oz,"Price
$13.49","Developed with dermatologists, the CeraVe Hydrating Facial Cleanser is a unique formula that hydrates while it cleanses.

Key Ingredients:
Ceramides 1, 3 and 6-II - hydrate and help restore the protective skin barrier
Hyaluronic Acid - helps retain skin's moisture
Benefits:
Fragrance-free
Non-comedogenic
Non-drying
Gentle, non-irritating
Recommended for normal to dry skin types
Accepted by the National Eczema Association
#1 Dermatologist Recommended Skincare Brand","Purified Water, Glycerin, Behentrimonium Methosulfate and Cetearyl Alcohol, Ceramide 3, Ceramide 6-11, Ceramide 1, Hyaluronic Acid, Cholesterol, Polyoxyl 40 Stearate, Glyceryl Monostearate, Stearyl Alcohol, Polysorbate 20, Potassium Phosphate, Dipotassium Phosphate, Sodium Lauroyl Lactylate, Cetyl Alcohol, Disodium EDTA, Phytosphingosine, Methylparaben, Propylparaben, Carbomer, Xanthan Gum.",4.2,85%,700 Reviews,https://www.ulta.com/hydrating-facial-cleanser?productId=xlsImpprod4190255,1
3,cleanser,face wash,oily,Peter Thomas Roth,Anti-Aging Cleansing Gel,Size 8.5 oz|,"Price
$39.00","Oil-free, anti-wrinkle technology helps to clarify and brighten with glycolic acid, salicylic acid, extracts of peach, white oak bark, lemon, lime, linden, grapefruit, and arginine. An advanced deep pore resurfacing action supports natural cell turnover to help diminish the appearance of fine lines, wrinkles, and other signs of aging.

It helps to effectively detoxify the pores, dissolve makeup, emulsify oil, and improve skin texture as it gently sweeps away dead skin cells and impurities that can make the complexion appear dull. Ideal for all skin types except sensitive skin, including dry, sun damaged, normal, combination, oily, and acne prone skin, this gel produces an ultraclean, refined, and revitalized complexion.","Water/Aqua/Eau, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Lauryl Glucoside, Propylene Glycol, Salicylic Acid, Glycolic Acid, Quercus Alba Bark Extract, Citrus Grandis (Grapefruit) Fruit Extract, Prunus Persica (Peach) Fruit Extract, Citrus Aurantifolia (Lime) Fruit Extract, Citrus Limon (Lemon) Fruit Extract, Arginine, Tilia Cordata Flower Extract, Allantoin, BHT, Panthenol, Butylene Glycol, Potassium Sorbate, Sodium Benzoate, Phenoxyethanol, Amyl Cinnamal, Linalool, Fragrance/Parfum, Red 40 (CI 16035), Yellow 5 (CI 19140).",4.5,91%,330 Reviews,https://www.ulta.com/anti-aging-cleansing-gel?productId=xlsImpprod540342,1
4,cleanser,face wash,oily,Murad,Essential-C Cleanser,6.75 oz,"Price
$40.00","Murad Essential-C Cleanser is a patented antioxidant-rich cleanser that rehydrates environmentally damaged skin.
Vitamin-packed formula removes environmental impurities, rehydrates, and awakens the senses with a burst of citrus.
Phospholipids and Sodium PCA attract and bind moisture to dry skin.
A combination of vitamins A, C, and E defend skin from free-radical damage.
Allantoin and panthenol work to soothe environmentally-stressed skin.
Formulated without parabens or phthalates.

Murad is cruelty-free: always tested on
people, never on animals. Dermatologist developed.","Water (Aqua), Cocamidopropyl Betaine, Disodium Laureth Sulfosuccinate, Glycerin, Butylene Glycol, Aminomethyl Propanol, Polysorbate 20, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Panthenol, Phospholipids, Tocopheryl Acetate, Retinyl Palmitate, Ascorbyl Palmitate, Ascorbic Acid, Chitosan, Rice Amino Acids, Zinc Aspartate, Allantoin, Sodium PCA, Lactose, Cellulose, Hydroxypropyl Methylcellulose, Propyl Gallate, Disodium EDTA, Phenoxyethanol, Caprylyl Glycol, Chlorphenesin, Limonene, Linalool, Citrus Aurantium Dulcis (Orange) Oil, Citrus Nobilis (Mandarin Orange) Peel Oil, Ocimum Basilicum (Basil) Oil, Citrus Grandis (Grapefruit) Peel Oil, Ferula Galbaniflua (Galbanum) Resin Oil, Fragrance (Parfum), Iron Oxides (CI 77492).",4.6,94%,272 Reviews,https://www.ulta.com/essential-c-cleanser?productId=prod2082350,1
5,cleanser,face wash,oily,The Ordinary,Squalane Cleanser,Size 1.0 oz|,"Price
$7.90","The Squalane Cleanser from The Ordinary is a lightweight balm that melts into an oil-like consistency to remove makeup and facial impurities. The esters in the formula help to dissolve and remove makeup, and facial impurities, detaching them from the skin's surface when rinsed with water

Benefits:
Dissolves and removes makeup and facial impurities while respecting the skin¿s moisture barrier
PH 5.50 - 6.50
Cruelty-free & Vegan
Does not contain alcohol, gluten, nuts, oil, silicone, parabens, sulfates","Squalane, Aqua (Water), Coco-caprylate/caprate, Glycerin, Sucrose Stearate, Ethyl Macadamiate, Caprylic/capric Triglyceride, Sucrose Laurate, Hydrogenated Starch Hydrolysate, Sucrose Dilaurate, Sucrose Trilaurate, Polyacrylate Crosspolymer-6, Isoceteth-20, Sodium Polyacrylate, Tocopherol, Hydroxymethoxyphenyl Decanone, Trisodium Ethylenediamine Disuccinate, Malic Acid, Ethylhexylglycerin, Chlorphenesin.",4.1,81%,332 Reviews,https://www.ulta.com/squalane-cleanser?productId=pimprod2007098,1
6,cleanser,face wash,oily,Philosophy,Purity Made Simple One-Step Facial Cleanser,8.0 oz,"Price
$25.00","Meet the #1 facial cleanser in America*, now formulated without parabens. Philosophy's Purity Made Simple One-Step Facial Cleanser with meadowfoam seed oil is an award-winning cleanser that melts away dirt, oil and makeup. It tones and lightly hydrates in one simple step for skin that feels perfectly cleaned and comfortably balanced. Formulated for normal-to-dry skin types and gentle enough for the sensitive eye area, it deep cleans pores while the meadowfoam seed oil extract helps condition skin.

*Source: the NPD Group/ U.S. Prestige Beauty total measured market, skincare product layer dollar sales, annual 2017-2019

Clinical results:
91% reported their skin looked and felt refreshed after one use*
87% reported their skin immediately looked and felt like a clean canvas*
Immediately removes skin-damaging pollutants**
Clinically proven to prevent skin dehydration***

*Based on 1-week self-assessment study with 101 women aged 18 - 35, used twice a day
**Based on a clinical study with 20 women aged 19-60; pollution is characterized by the residual amount of micro-particles of carbon and dust
*** Based on a clinical hydration measurement on 23 women aged 18-35, as compared to washing with water","Aqua/Water/Eau, Sodium Lauroamphoacetate, Sodium Trideceth Sulfate, Limnanthes Alba (Meadowfoam) Seed Oil, Coco-Glucoside, Coconut Alcohol, Peg-120 Methyl Glucose Dioleate, Glycerin, Phenoxyethanol, Isopropyl Alcohol, Carbomer, Polysorbate 20, Chlorphenesin, Citric Acid, Disodium Phosphate, Aniba Rosaeodora (Rosewood) Wood Oil, Linalool, Ethylhexylglycerin, Xanthan Gum, Sodium Citrate, Bulnesia Sarmientoi Wood Oil, Pelargonium Graveolens Flower Oil, Sodium Hydroxide, Amyris Balsamifera Bark Oil, Cymbopogon Martini Oil, Rosa Damascena Flower Oil, Tocopherol, Daucus Carota Sativa (Carrot) Seed Oil, Mimosa Tenuiflora Bark Extract, Ormenis Multicaulis Oil, Piper Nigrum (Pepper) Fruit Extract, Salvia Sclarea (Clary) Oil, Santalum Album (Sandalwood) Oil, Fd&Amp;C Yellow No. 5 (Ci 19140).",4.7,95%,8599 Reviews,https://www.ulta.com/purity-made-simple-one-step-facial-cleanser?productId=pimprod2017770,1
7,cleanser,face wash,oily,PEACH & LILY,Power Calm Hydrating Gel Cleanser,Size 3.38 oz|,"Price
$28.00","Peach & Lily's Power Calm Hydrating Gel Cleanser is just so gentle and effective. With soothing chamomile and camellia, this gel cleanser lathers into a soft foam, helping dissolve light makeup and deeply cleanse skin. A pH of 5.5 helps keep skin balanced; this sulfate-, toxin-free cleanser is great for acne-prone or mature skin.

WHAT IT IS: Getting the basics right can be so difficult but it doesn't have to be! The Peach & Lily Power Calm Hydrating Gel Cleanser makes it so easy to get the basics right, cleansing skin down to its pores without stripping skin dry or causing irritation. Formulated with soothing ingredients like chamomile and camellia extracts and without things like sulfates or toxins or animal testing, this gentle face wash starts as a clear gel and lathers into a soft, milky foam, helping dissolve light, everyday makeup and deeply cleansing skin, while a pH of 5.5 helps keep your natural skin barrier intact. You won't have to think twice about how to start your routine on the right note.

RECOMMENDED FOR:
All skin types
Acne-prone, mature, and/or sensitive skin in particular
Irritation, redness, and inflammation
Rough texture and dullness
Dehydrated, uncomfortable tightness

WHAT'S IN IT FOR YOU: Peach & Lily's Power Calm Hydrating Cleanser starts with Deionized Water, water that's been run through a filtration system to remove mineral ions, leaving only clean, pure water. Camellia, Chamomile, and Centella Asiatica Extracts help soothe skin, while Peach Extract brings its wealth of vitamins and minerals to help nourish and brighten skin, so skin is left deeply cleansed without being stripped dry or irritated. Formulated without sulfates or toxins, this lightweight, gel cleanser has a pH of 5.5 and a faint herbal scent that imparts a sense of calm, starting any skincare routine on the right, gentle note.

THE MIND BEHIND: Peach & Lily's founder, Alicia Yoon, is a celebrated esthetician and a leading skincare expert. In her experience, when cleansing is done improperly, skin tends to go awry, becoming irritated or producing more oil, while getting cleansing right helps make the rest of a skincare routine much easier because proper cleansing helps keep skin balanced and free of irritation, the skin's natural barrier left intact. With this in mind, Alicia worked with leading labs in Korea to develop a cleanser that would not only cleanse gently but also help hydrate, nourish, and balance skin. Discover the skin-changing benefits of a proper cleanser with Peach & Lily's Power Calm Hydrating Gel Cleanser for yourself!

THE PEACH & LILY PROMISE: Caring for your skin can be overwhelming. Tired of the skincare guessing game as you try to figure out what will work for you? Want products that deliver dramatic results but worried they'll be too harsh or make you break out? Looking for delightful textures but want to avoid chemicals and harmful ingredients? Peach & Lily is all too familiar with the trial-and-error, trade-offs, and compromises when it comes to skincare.

This innovative beauty brand created the Peach & Lily skincare collection to take away those worries and guesswork. Pushing the limits of innovation by combining breakthrough research and proven skincare traditions, Peach & Lily creates products that will help you enjoy dramatic results, delivered in a radically safe and delightful way with formulas that feature powerful, clinically-proven ingredients. In short, you get big results with a beautiful experience and zero compromises. You can have it all!","DI Water, Glycerin, Sorbitol, Coco-Glucoside, Tea-Cocoyl Glutamate, Sodium Citrate, Butylene Glycol, Camellia Japonica Flower Extract, Camellia Sinensis Leaf Extract, Centella Asiatica Extract, Chamomilla Recutita (Matricaria) Flower Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Scutellaria Baicalensis Root Extract, Panthenol, Cucumis Sativus (Cucumber) Fruit Extract, Prunus Persica (Peach) Fruit Extract, Hydrolyzed Hyaluronic Acid, Sodium Hyaluronate, Tocopherol, Sodium Acetylated Hyaluronate, Zingiber Officinale (Ginger) Root Extract, Propanediol, Aloe Barbadensis Leaf Juice Powder, Rosmarinus Officinalis (Rosemary) Leaf Extract, Cellulose Gum, Ethylhexylglycerin, Polygonum Cuspidatum Root Extract, 1,2-Hexanediol, Pantolactone, Chlorphenesin, Dipotassium Glycyrrhizate, Polyglyceryl-10 Caprylate/Caprate, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Trisodium Ethylenediamine Disuccinate, Polyglyceryl-10 Laurate, Lavandula Angustifolia (Lavender) Oil, Pelargonium Graveolens Flower Oil.",4.5,93%,692 Reviews,https://www.ulta.com/power-calm-hydrating-gel-cleanser?productId=pimprod2004468,1
8,cleanser,face wash,oily,Tula,The Cult Classic Purifying Face Cleanser,Size 6.7 oz|,"Price
$28.00","TULA's Cult Classic Purifying Face Cleanser is a refreshing probiotic gel cleanser that goes deep into pores to remove impurities without stripping or over-drying skin. TULA's signature probiotics + superfoods promote skin's natural balance and radiance. Leaves skin looking glowing, and primed for the rest of your skin care routine. Suitable for all skin types and ages, and especially excellent for dry skin.

What's Inside:
Probiotics: The core ingredient of all TULA products, they're clinically proven to help lock in moisture and soothe the appearance of inflammation
Lactic acid naturally cleanses and exfoliates to reveal healthy, radiant looking skin
Chicory root is a natural anti-inflammatory prebiotic that helps boost the appearance of firmer skin
Turmeric root is a powerful antioxidant that helps reduce signs of inflammation. Blueberries are rich in antioxidants and help protect from free-radicals

The TULA difference:
TULA products are 100% free from phthalates, parabens, toxins, carcinogens, mineral oil, sodium laurel sulfate, and harmful preservatives
All products are cruelty-free","Aqua/Water/Eau, Cocamidopropyl Betaine, Disodium Laureth Sulfosuccinate, Lauryl Glucoside, Glycerin, Sodium Lauryl Sulfoacetate, Bifida Ferment Lysate, Hydrolyzed Rice Protein, Curcuma Longa (Turmeric) Root Extract, Camellia Sinensis (Green Tea) Leaf Extract, Vaccinium Angustifolium (Blueberry) Fruit Extract, Cichorium Intybus (Chicory) Root Extract, Camelina Sativa Seed Oil, Lactose, Lactis Proteinum/Milk Protein/Protéine du lait, Yogurt Powder, Olus Oil/Vegetable Oil/Huile végétale, Tocopheryl Acetate, Ascorbyl Palmitate, Panthenol, Carthamus Tinctorius (Safflower) Seed Oil, Polyquaternium-10, Butylene Glycol, Glycereth-7 Caprylate/Caprate, Inulin, Pentylene Glycol, Caprylyl Glycol, Bulnesia Sarmientoi Wood Oil, Citrus Limon (Lemon) Fruit Oil, Citrus Aurantium Dulcis (Orange) Oil, Juniperus Mexicana Oil, Cananga Odorata Flower Oil, Citric Acid, Sorbic Acid, Ethylhexylglycerin, Disteareth-75 IPDI, Fragrance (Parfum), Phenethyl Alcohol, Alpha-Isomethyl ionone, Butylphenyl Methylpropional, Linalool, Phenoxyethanol.",4.4,72%,1525 Reviews,https://www.ulta.com/cult-classic-purifying-face-cleanser?productId=xlsImpprod18731041,1
9,cleanser,face wash,oily,INDIE LEE,Brightening Cleanser,Size 4.2 oz|,"Price
$34.00","Indie Lee Brightening Cleanser gently washes away makeup and impurities. An antioxidant-rich formula with Strawberry Seed Oil, hydrolyzed Wheat Protein and Tomato extracts help strengthen, firm and protect, leaving the skin hydrated, silky and luminous. Doubles as an exfoliating mask if left for 5 minutes before rinsing.

Recommended for:
All Skin Types
Brightening
Uneven Texture and Dullness
Makeup Removal

Benefits:
Vegan
Cruelty-Free
Non-GMO
Paraben-Free
Silicone-Free

About Indie Lee:

In 2008, Indie Lee was diagnosed with a life-threatening brain tumor that doctors felt could be environmentally derived and attributed to something as simple as what she was putting on her skin. After learning that up to 60% of what we apply to our skin may be absorbed in as little as 26 seconds, Indie had her awakening. She embarked upon a wellness journey to create a clean beauty collection dedicated to inspiring and empowering others to be mindful about what they put on their skin as well as into their bodies.

Sourcing the world's finest ingredients and formulating with the help of leading, like-minded chemists, Indie Lee & Co. intrinsically blends nature and science to bring the most efficacious products to market without sacrificing safety. The brand's mission to provide healthier skincare options is embodied through its undertaking of rigorous testing protocols to ensure clean, high-performance products. Committed to creating change and building community in the clean lifestyle and wellness categories.

Their clean commitments:

Indie Lee is Leaping Bunny Certified, cruelty-free, and printed on FSC certified paper. Indie Lee products are always formulated without parabens, silicones, sulfates, DEAs, TEAs, petrolatum, formaldehyde, lead, phthalates, toluene, talc and GMO ingredients.

Indie Lee & Co is grounded in nature, supported through science, and inspired by life.","Water (Aqua/Eau), Decyl Glucoside (Veg. Oils & Sugar), Disodium Coco-Glucoside Citrate, Coco Glucoside (Coconut and Sunflower Oil), Glyceryl Oleate, Hydrolyzed Wheat Protein, Xanthan Gum, Fragaria Chiloensis (Strawberry) Seed Oil, Lycopene (Tomato), Propanediol, Ethylhexylglycerin, Potassium Sorbate.",4.6,94%,42 Reviews,https://www.ulta.com/brightening-cleanser?productId=pimprod2014422,1
